"filename", "language", "TypeScript JSX", "Markdown", "CSS", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "Properties", "MS SQL", "XML", "comment", "blank", "total"
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\SQL\db_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 17, 36, 193
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\.eslintrc.json", "JSON with Comments", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\components.json", "JSON", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 6591, 0, 0, 0, 0, 0, 1, 6592
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\package.json", "JSON", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 1, 68
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\public\images\about.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\public\images\aboutv2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\(auth)\forgot-password\page.tsx", "TypeScript JSX", 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 229
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\(auth)\login\page.tsx", "TypeScript JSX", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 87
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\admin-profile\page.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\booking-request\page.tsx", "TypeScript JSX", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 245
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\dashboard\page.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\inquiries\page.tsx", "TypeScript JSX", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 117
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\installers\page.tsx", "TypeScript JSX", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 186
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\layout.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\orders\page.tsx", "TypeScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
