Date : 2024-11-27 16:37:31
Directory : c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project
Total : 178 files,  20925 codes, 122 comments, 1228 blanks, all 22275 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |      8,911 |          0 |          6 |      8,917 |
| TypeScript JSX     |         89 |      6,667 |         89 |        735 |      7,491 |
| TypeScript         |         32 |      3,805 |          9 |        173 |      3,987 |
| JavaScript         |         38 |      1,223 |          7 |        236 |      1,466 |
| MS SQL             |          1 |        140 |         17 |         36 |        193 |
| CSS                |          4 |         77 |          0 |         20 |         97 |
| XML                |          2 |         38 |          0 |          2 |         40 |
| JSON with Comments |          2 |         29 |          0 |          2 |         31 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| Properties         |          2 |         12 |          0 |          4 |         16 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |        178 |     20,925 |        122 |      1,228 |     22,275 |
| . (Files)                                                                                                                                             |          2 |        232 |          0 |          2 |        234 |
| SQL                                                                                                                                                   |          1 |        140 |         17 |         36 |        193 |
| client                                                                                                                                                |        136 |     17,331 |        100 |        954 |     18,385 |
| client (Files)                                                                                                                                        |         10 |      6,771 |          2 |         27 |      6,800 |
| client\public                                                                                                                                         |          2 |         38 |          0 |          2 |         40 |
| client\public\images                                                                                                                                  |          2 |         38 |          0 |          2 |         40 |
| client\src                                                                                                                                            |        124 |     10,522 |         98 |        925 |     11,545 |
| client\src\app                                                                                                                                        |         36 |      2,395 |         33 |        253 |      2,681 |
| client\src\app (Files)                                                                                                                                |          5 |         82 |          1 |         18 |        101 |
| client\src\app\(auth)                                                                                                                                 |          2 |        280 |          8 |         28 |        316 |
| client\src\app\(auth)\forgot-password                                                                                                                 |          1 |        208 |          2 |         19 |        229 |
| client\src\app\(auth)\login                                                                                                                           |          1 |         72 |          6 |          9 |         87 |
| client\src\app\admin                                                                                                                                  |         13 |      1,045 |          5 |         96 |      1,146 |
| client\src\app\admin (Files)                                                                                                                          |          1 |         34 |          0 |          3 |         37 |
| client\src\app\admin\admin-profile                                                                                                                    |          1 |          5 |          0 |          3 |          8 |
| client\src\app\admin\booking-request                                                                                                                  |          1 |        225 |          1 |         19 |        245 |
| client\src\app\admin\dashboard                                                                                                                        |          1 |          6 |          0 |          3 |          9 |
| client\src\app\admin\inquiries                                                                                                                        |          1 |        109 |          0 |          8 |        117 |
| client\src\app\admin\installers                                                                                                                       |          1 |        171 |          3 |         12 |        186 |
| client\src\app\admin\orders                                                                                                                           |          1 |         41 |          0 |          5 |         46 |
| client\src\app\admin\products                                                                                                                         |          3 |        292 |          0 |         22 |        314 |
| client\src\app\admin\products (Files)                                                                                                                 |          1 |         65 |          0 |          5 |         70 |
| client\src\app\admin\products\[productId]                                                                                                             |          1 |        138 |          0 |          8 |        146 |
| client\src\app\admin\products\add-products                                                                                                            |          1 |         89 |          0 |          9 |         98 |
| client\src\app\admin\services                                                                                                                         |          1 |        111 |          1 |         13 |        125 |
| client\src\app\admin\users                                                                                                                            |          2 |         51 |          0 |          8 |         59 |
| client\src\app\admin\users (Files)                                                                                                                    |          1 |         46 |          0 |          5 |         51 |
| client\src\app\admin\users\[userId]                                                                                                                   |          1 |          5 |          0 |          3 |          8 |
| client\src\app\api                                                                                                                                    |          3 |         21 |          0 |          7 |         28 |
| client\src\app\api\auth                                                                                                                               |          2 |          4 |          0 |          4 |          8 |
| client\src\app\api\auth\[...nextauth]                                                                                                                 |          2 |          4 |          0 |          4 |          8 |
| client\src\app\api\mailer                                                                                                                             |          1 |         17 |          0 |          3 |         20 |
| client\src\app\client                                                                                                                                 |         12 |        962 |         19 |        101 |      1,082 |
| client\src\app\client\(main-pages)                                                                                                                    |          8 |        901 |         19 |         86 |      1,006 |
